module_accession	pathway_name	pathway_class	matching_ko	missing_ko	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
M00094	Ceramide biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K00654	K04708,K04709,K04712	25	25	25	25	0	0	0	0	0	25	0	25
M00641	Multidrug resistance, efflux pump MexEF-OprN	Signature modules; Gene set; Drug resistance	K18299	K18297,K18298	0	0	0	0	0	25	0	0	0	0	0	25
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00913	K00915,K10572	0	0	0	33.33	0	0	0	0	0	33.33	0	33.33
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	Pathway modules; Amino acid metabolism; Lysine metabolism	K00658	K00252,K00382,K00825,K07514,K14085,K14157,K15791	5.56	11.11	5.56	11.11	5.56	0	0	5.56	5.56	11.11	0	11.11
M00118	Glutathione biosynthesis, glutamate => glutathione	Pathway modules; Amino acid metabolism; Other amino acid metabolism	K01919,K01920	K21456	0	100	100	100	0	0	0	0	50	100	0	100
M00532	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00605,K03781,K11517	K00281,K00382,K00600,K00830,K01601,K02437,K14272,K15893,K15918,K19269	23.61	48.61	48.61	48.61	30.56	0	5.56	30.56	48.61	48.61	0	61.11
M00089	Triacylglycerol biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K00655	K00629,K01080,K11155	25	25	25	25	25	0	0	25	25	25	0	25
M00898	Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00949	K00877,K03146,K14154,K18278	0	11.11	11.11	22.22	11.11	0	0	11.11	22.22	11.11	0	11.11
M00573	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00652	K01012,K01935,K16593,K19563	20	60	40	60	20	0	20	40	20	60	0	40
M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01809	K00225,K00966,K10046,K10047,K14190,K17497,K17744	0	12.5	12.5	12.5	0	0	0	12.5	12.5	12.5	0	12.5
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K19515	K07537,K07538,K07539,K19516	0	0	0	0	0	0	12.5	0	0	0	0	6.25
M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00097	K00275,K00831,K03472,K03473,K03474	16.67	66.67	16.67	66.67	0	0	0	33.33	16.67	66.67	0	50
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	Signature modules; Gene set; Pathogenicity	K12088	K03196,K12086,K12089,K12090,K12091,K12093,K12094,K12095,K12096,K12097,K12098,K12101,K12102,K12103,K12104,K12105,K12106,K12107,K12108,K12109,K12110,K15842	0	4.35	4.35	4.35	0	0	0	0	4.35	4.35	0	4.35
M00886	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	Pathway modules; Lipid metabolism; Fatty acid metabolism	K02078	K00645,K11263,K11608,K11609,K11610,K11611,K18472,K27070,K27071,K27072,K27073	33.33	44.44	44.44	50	0	0	11.11	0	64.44	44.44	0	55.56
M00972	Proline metabolism	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00286	K00318,K00819	33.33	33.33	33.33	33.33	33.33	33.33	0	0	33.33	33.33	0	33.33
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules; Energy metabolism; Carbon fixation	K00297,K01938	K00194,K00197,K00198,K01491,K05299,K14138,K15023	28.57	42.86	28.57	42.86	42.86	0	28.57	33.33	28.57	42.86	0	42.86
M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03644	K10105,K23735	33.33	66.67	33.33	66.67	33.33	66.67	0	0	33.33	33.33	0	66.67
M00081	Pectin degradation	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01051,K01184,K01213	K01184	0	100	66.67	66.67	33.33	0	0	0	100	66.67	0	33.33
M00923	UDP-L-FucNAm biosynthesis	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K19068	K15894,K24258,K24259	25	25	25	50	0	0	0	0	25	25	0	25
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00012,K00963,K01053	K00002,K00103,K00699,K01195	0	42.86	14.29	42.86	0	0	28.57	28.57	28.57	42.86	0	28.57
M00730	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	Signature modules; Gene set; Drug resistance	K19077	K19078,K19079,K19080	0	0	0	33.33	0	0	0	0	50	0	0	33.33
M00567	Methanogenesis, CO2 => methane	Pathway modules; Energy metabolism; Methane metabolism	K03388	K00200,K00201,K00202,K00203,K00205,K00319,K00320,K00399,K00401,K00402,K00577,K00578,K00579,K00580,K00581,K00584,K00672,K01499,K03389,K03390	0	0	0	0	0	4.17	0	8.33	0	0	0	4.17
M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00788,K00941	K00946,K03147,K22699	16.67	50	33.33	50	25	25	0	16.67	33.33	50	0	50
M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00849	K00965	50	100	100	100	50	0	100	0	100	100	0	100
M00099	Sphingosine biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K00654	K01441,K04708,K04709,K04712	20	20	20	20	0	0	0	0	0	20	0	20
M00015	Proline biosynthesis, glutamate => proline	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00147,K00286	K00931	75	100	50	100	75	100	0	50	50	100	0	100
M00621	Glycine cleavage system	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00605	K00281,K00382	33.33	66.67	66.67	66.67	33.33	0	0	66.67	66.67	66.67	0	100
M00086	beta-Oxidation, acyl-CoA synthesis	Pathway modules; Lipid metabolism; Fatty acid metabolism	K01897	NA	100	100	100	100	100	100	0	0	0	0	0	100
M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K09019,K09024	K09018,K09020,K09021,K09023	0	30	20	30	0	0	0	0	0	30	0	20
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules; Energy metabolism; Carbon fixation	K01595,K01610	K14454,K14455	50	25	0	25	25	25	25	25	0	25	0	25
M00897	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00949,K03147,K14153	K03146,K22911	0	37.5	37.5	37.5	37.5	0	0	25	37.5	37.5	0	37.5
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	K00797	K01480,K01584,K01611	33.33	66.67	0	66.67	16.67	33.33	16.67	16.67	0	66.67	0	33.33
M00881	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03644	K03801	50	100	0	100	50	100	0	0	0	50	0	100
M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K00074,K01912,K02611	K01692,K02609,K02610,K02612,K02613,K02615,K02618,K15866	31.43	17.14	2.86	17.14	0	0	0	0	17.14	2.86	0	17.14
M00744	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	Signature modules; Gene set; Drug resistance	K07660	K07637,K08477	0	33.33	33.33	33.33	0	0	0	0	33.33	33.33	0	33.33
M00884	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03644	K23750	50	50	0	50	50	50	0	0	0	0	0	50
M00141	C1-unit interconversion, eukaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600	K00288	0	50	50	50	50	0	0	50	50	50	0	50
M00970	Proline degradation, proline => glutamate	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K13821	NA	100	100	100	100	0	0	0	0	0	100	0	100
M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	Pathway modules; Xenobiotics biodegradation; Aromatics degradation	K01821	K00446,K01617,K10217,K18364,K18365,K18366	6.67	20	20	20	0	0	0	20	20	20	0	20
M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K00083,K00588	K00487,K01904,K09753,K09754,K09755,K10775,K13065,K13066	0	20	10	20	0	0	0	0	10	10	0	10
M00888	Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5	Pathway modules; Glycan metabolism; Other polysaccharide metabolism	K02851	K16649,K16650,K16870	25	25	25	25	0	0	0	0	25	25	0	25
M00530	Dissimilatory nitrate reduction, nitrate => ammonia	Pathway modules; Energy metabolism; Nitrogen metabolism	K00362,K00370	K00363,K00371,K00374	0	41.67	16.67	16.67	0	0	0	0	25	16.67	0	25
M00575	Pertussis pathogenicity signature, T1SS	Signature modules; Gene set; Pathogenicity	K11004,K12340	K07389,K11003,K22944	0	40	0	40	0	0	0	0	20	20	0	20
M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	Pathway modules; Energy metabolism; Methane metabolism	K03388	K00399,K00401,K00402,K03389,K03390,K14082,K16177	0	0	0	0	0	8.33	0	16.67	0	0	0	8.33
M00848	Aurachin biosynthesis, anthranilate => aurachin A	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics	K02078	K09460,K14245,K14246,K21271,K21272,K22798,K22799,K22800,K22801,K22802	3.12	3.12	3.12	3.12	0	0	0	0	3.12	3.12	0	3.12
M00643	Multidrug resistance, efflux pump MexXY-OprM	Signature modules; Gene set; Drug resistance	K18139	K18094,K18095,K18129	0	16.67	16.67	16.67	0	0	0	0	0	16.67	0	16.67
M00596	Dissimilatory sulfate reduction, sulfate => H2S	Pathway modules; Energy metabolism; Sulfur metabolism	K00958	K00394,K00395,K11180,K11181,K27187,K27188,K27189,K27190,K27191	0	25	0	25	0	0	0	12.5	25	0	0	25
M00911	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00793	K00794,K00861,K00953,K01497,K02858,K14654,K14655	9.09	45.45	18.18	63.64	9.09	0	9.09	9.09	0	54.55	0	18.18
M00705	Multidrug resistance, efflux pump MepA	Signature modules; Gene set; Drug resistance	K18909	K18908	0	50	50	50	0	0	0	0	50	0	0	50
M00066	Lactosylceramide biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	K00720	K07553	0	50	0	50	0	0	0	0	0	50	0	50
