KO	BCMy_011_trim_nohost	BCMy_021_trim_nohost	BCMy_031_trim_nohost	BCMy_041_trim_nohost	BCMy_071_trim_nohost	BCMy_081_trim_nohost	BCMy_091_trim_nohost	BCMy_121_trim_nohost	BCMy_131_trim_nohost	BCMy_151_trim_nohost	BCMy_181_trim_nohost	BCMy_211_trim_nohost
K03486	0	3	0	1	0	0	0	0	0	0	0	1
K03488	2	96	15	296	0	0	5	1	930	96	0	58
K03489	0	24	13	77	0	0	0	0	399	44	0	33
K03491	0	6	0	0	0	0	0	0	0	0	0	0
K03492	2	1	1	0	0	0	2	0	24	0	0	0
K03495	7	174	44	455	8	8	1	2	1370	167	1	139
K03496	6	101	21	237	9	2	6	7	629	71	0	65
K03497	7	82	20	210	1	4	2	8	637	60	0	63
K03498	0	0	0	0	2	0	0	2	0	0	2	6
K03499	0	2	4	10	8	3	0	2	20	6	0	2
K03500	1	143	33	293	2	2	1	2	847	104	0	67
K03501	6	56	21	161	4	1	2	1	460	51	0	34
K03502	3	2	1	0	4	2	0	2	0	1	0	2
K03517	0	68	25	180	0	0	0	0	609	37	0	39
K03518	0	0	0	0	0	0	0	1	0	0	0	0
K03520	0	0	0	0	0	0	0	0	2	0	0	0
K03521	0	4	1	19	0	2	0	0	0	7	0	3
K03522	1	6	0	20	0	0	2	2	0	7	0	3
K03523	0	40	10	104	0	2	0	0	226	24	0	29
K03524	0	54	15	126	2	0	2	0	416	54	0	34
K03525	0	7	0	7	0	0	0	0	0	0	0	3
K03526	0	7	2	15	2	0	0	0	2	2	0	2
K03527	0	6	0	18	3	2	0	5	5	5	0	3
K03529	7	214	78	676	7	1	6	0	1837	216	3	142
K03530	0	11	1	39	2	0	0	0	110	22	0	13
K03531	0	146	39	323	0	5	4	4	1005	98	0	47
K03534	1	15	12	48	0	0	0	0	75	10	0	1
K03536	2	17	7	51	0	0	0	2	104	7	0	5
K03543	0	25	2	46	2	0	0	0	2	19	1	6
K03544	5	90	26	206	4	1	1	2	724	81	0	57
K03545	3	79	22	247	6	3	0	4	835	96	0	44
K03546	0	77	21	226	0	0	0	0	742	95	0	58
K03547	1	97	24	225	0	0	2	1	902	71	2	69
K03549	14	9	1	54	1	1	2	0	0	12	0	12
K03550	0	43	5	99	0	0	0	0	253	42	4	18
K03551	0	100	29	222	0	2	0	2	659	94	0	57
K03553	4	100	26	224	1	0	2	0	746	96	2	56
K03554	0	0	0	0	1	0	0	0	0	0	0	0
K03555	7	235	42	516	0	0	4	1	2075	185	0	161
K03556	0	0	0	0	2	0	0	0	0	0	0	0
K03558	1	6	0	17	1	0	0	0	0	1	0	2
K03559	2	4	0	26	0	0	0	0	0	5	0	1
K03560	0	4	0	5	0	0	0	0	0	2	0	0
K03561	0	12	0	28	0	0	0	0	1	1	0	2
K03562	0	8	0	15	0	0	0	0	0	2	0	0
K03564	0	1	0	5	0	0	2	0	0	0	0	0
K03565	0	68	20	116	0	0	2	0	458	33	0	34
K03568	3	17	4	24	0	0	4	0	1	10	0	4
K03569	2	9	0	24	2	1	0	0	0	6	0	5
K03570	2	44	11	201	0	1	0	0	515	41	1	43
K03571	0	48	2	104	0	0	2	0	225	30	0	26
K03572	2	135	19	379	4	2	5	0	1169	133	0	90
K03574	3	42	4	67	2	0	0	0	40	51	0	5
K03575	0	69	12	208	0	0	0	0	495	58	0	50
K03576	0	0	0	0	4	0	0	0	0	0	0	0
K03577	0	0	0	0	0	2	0	0	0	0	0	0
K03578	1	0	1	1	0	0	0	0	0	0	0	2
K03579	0	21	0	48	0	0	0	0	8	22	0	4
K03581	3	160	50	408	4	0	2	2	1653	129	3	94
K03582	0	1	0	0	0	0	0	0	0	0	0	1
K03583	2	0	0	0	0	0	0	0	0	0	0	10
K03584	4	54	21	118	2	0	0	1	420	31	0	38
K03585	0	9	0	27	2	3	0	0	0	5	0	1
K03586	0	3	0	0	0	0	0	0	0	0	0	0
K03587	5	15	0	45	2	0	2	5	0	4	0	7
K03588	2	79	8	150	0	0	4	1	453	53	3	33
K03589	0	40	13	96	3	0	0	2	277	34	0	27
K03590	1	111	23	285	1	1	0	7	1135	117	1	101
K03592	0	10	2	36	0	2	0	0	0	7	0	4
K03593	0	10	0	18	2	0	0	3	3	8	0	3
K03594	4	4	0	5	0	0	0	0	1	0	0	0
K03595	3	56	18	181	0	0	6	0	625	48	0	57
K03596	11	172	45	385	7	2	4	2	1495	207	2	119
K03600	0	0	0	0	0	1	0	0	0	0	0	0
K03601	5	110	16	250	6	0	0	0	1075	102	0	86
K03602	0	21	3	47	0	0	0	0	181	25	0	24
K03604	2	4	3	39	0	2	0	0	142	13	0	8
K03606	0	0	0	1	0	0	0	0	5	0	0	0
K03608	0	2	0	2	0	0	0	0	0	1	0	0
K03609	0	1	0	12	2	0	0	0	2	8	0	3
K03610	0	10	0	13	0	2	0	0	0	3	0	0
K03613	0	0	0	0	0	0	0	2	0	0	0	0
K03614	1	0	0	0	0	0	0	1	0	0	0	0
K03615	0	23	4	36	1	0	0	7	171	16	0	18
K03617	0	0	0	0	2	0	0	0	0	0	0	0
K03621	1	107	20	199	0	0	2	2	774	78	6	66
