ID	Function	Source	Count
PRK00064.1-5	DNA replication/repair protein RecF	PRK00064	19
PRK00066.1	L-lactate dehydrogenase	PRK00066	19
PRK00071.1-4	nicotinate-nucleotide adenylyltransferase	PRK00071	12
PRK00074.1	glutamine-hydrolyzing GMP synthase	PRK00074	20
PRK00080.1	Holliday junction branch migration DNA helicase RuvB	PRK00080	30
PRK00089.1	GTPase Era	PRK00089	18
PRK00092.1-2	ribosome maturation factor RimP	PRK00092	20
PRK00094.1-3	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	PRK00094	24
PRK00095.1-3	DNA mismatch repair endonuclease MutL	PRK00095	28
PRK00099.1-1	50S ribosomal protein L10	PRK00099	2
PRK00103.1-3	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	PRK00103	7
PRK00104.1-4	segregation/condensation protein A	PRK00104	6
PRK00106.1	ribonuclease Y	PRK00106	19
PRK00110.1	YebC/PmpR family DNA-binding transcriptional regulator	PRK00110	18
PRK00114.1	Hsp33 family molecular chaperone HslO	PRK00114	1
PRK00118.1-1	putative DNA-binding protein	PRK00118	2
PRK00118.1-4	putative DNA-binding protein	PRK00118	6
PRK00121.2-2	tRNA (guanosine(46)-N7)-methyltransferase TrmB	PRK00121	1
PRK00129.1	uracil phosphoribosyltransferase	PRK00129	8
PRK00132.1	30S ribosomal protein S9	PRK00132	7
PRK00136.1	30S ribosomal protein S8	PRK00136	13
PRK00139.2-3	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	PRK00139	4
PRK00139.2-4	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	PRK00139	7
PRK00142.1-4	rhodanese-related sulfurtransferase	PRK00142	2
PRK00143.1	tRNA 2-thiouridine(34) synthase MnmA	PRK00143	23
PRK00147.1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	PRK00147	27
PRK00202.1-1	transcription antitermination factor NusB	PRK00202	2
PRK00226.1-1	transcription elongation factor GreA	PRK00226	13
PRK00226.1-2	transcription elongation factor GreA	PRK00226	2
PRK00226.1-4	transcription elongation factor GreA	PRK00226	4
PRK00230.1	orotidine-5'-phosphate decarboxylase	PRK00230	2
PRK00258.2-4	shikimate dehydrogenase	PRK00258	1
PRK00277.1	ATP-dependent Clp protease proteolytic subunit	PRK00277	9
PRK00279.1-2	adenylate kinase	PRK00279	23
PRK00279.1-4	adenylate kinase	PRK00279	1
PRK00283.1	tyrosine recombinase	PRK00283	4
PRK00290.1	molecular chaperone DnaK	PRK00290	41
PRK00331.1	isomerizing glutamine--fructose-6-phosphate transaminase	PRK00331	18
PRK00349.1	excinuclease ABC subunit UvrA	PRK00349	64
PRK00364.2-5	co-chaperone GroES	PRK00364	7
PRK00400.1-5	phosphoribosyl-ATP diphosphatase	PRK00400	1
PRK00405.1	DNA-directed RNA polymerase subunit beta	PRK00405	37
PRK00409.1-3	endonuclease MutS2	PRK00409	27
PRK00409.1-5	endonuclease MutS2	PRK00409	19
PRK00443.1-1	glucosamine-6-phosphate deaminase	PRK00443	14
PRK00448.1	PolC-type DNA polymerase III	PRK00448	96
PRK00455.1-3	orotate phosphoribosyltransferase	PRK00455	1
PRK00465.1	50S ribosomal protein L36	PRK00465	4
PRK00476.1	aspartate--tRNA ligase	PRK00476	16
PRK00484.1	lysine--tRNA ligase	PRK00484	17
