L1	L2	L3	ID	Function	EC	Gene	Count
Not Included in Pathway or Brite	Unclassified: metabolism	Carbohydrate metabolism	K19510	Fructoselysine-6-phosphate deglycase		gfrF	4
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K19745	Acrylyl-CoA reductase (NADPH)	1.3.1.-	acuI	5
Not Included in Pathway or Brite	Unclassified: metabolism	Secondary metabolism	K19784	Chromate reductase, NAD(P)H dehydrogenase (quinone)		chrR, NQR	5
Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins [BR:ko03036]	K19788	Obg-like ATPase 1		OLA1	7
Environmental Information Processing	Membrane transport	ABC transporters [PATH:ko02010]	K19971	Manganese/zinc transport system substrate-binding protein		psaA, scaA	7
Brite Hierarchies	Protein families: signaling and cellular processes	Transporters [BR:ko02000]	K19971	Manganese/zinc transport system substrate-binding protein		psaA, scaA	7
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20037	Choline trimethylamine-lyase activating enzyme	1.97.1.-	cutD	6
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K20038	Choline trimethylamine-lyase	4.3.99.4	cutC	1
Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Cell growth	K20073	Mid-cell-anchored protein Z		mapZ, locZ	6
Brite Hierarchies	Protein families: metabolism	Protein phosphatases and associated proteins [BR:ko01009]	K20074	PPM family protein phosphatase	3.1.3.16	prpC, phpP	4
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K20488	Two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR		nisR, spaR	5
Cellular Processes	Cellular community - prokaryotes	Quorum sensing [PATH:ko02024]	K20488	Two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR		nisR, spaR	5
Brite Hierarchies	Protein families: signaling and cellular processes	Two-component system [BR:ko02022]	K20488	Two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR		nisR, spaR	5
Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae [PATH:ko05111]	K20918	LuxR family transcriptional regulator, positive regulator of biofilm formation		vpsT	2
Brite Hierarchies	Protein families: genetic information processing	Transcription factors [BR:ko03000]	K20918	LuxR family transcriptional regulator, positive regulator of biofilm formation		vpsT	2
