ASV	BCMy_011	BCMy_021	BCMy_031	BCMy_041	BCMy_051	BCMy_061	BCMy_071	BCMy_081	BCMy_091	BCMy_101	BCMy_111	BCMy_121	BCMy_131	BCMy_141	BCMy_151	BCMy_161	BCMy_171	BCMy_181	BCMy_191	BCMy_201	BCMy_211	BCMy_221	BCMy_231	BCMy_241	BCMy_251	BCMy_261	BCMy_271	BCMy_281	BCMy_291	BCMy_301
zotu_229;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Apilactobacillus;s__Apilactobacillus_nanyangensis	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	2	0	1	204	0	1	0	0	0	0	1
zotu_240;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__Mitochondria_Mitochondria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	6	281	0	0	0	0	0	0
zotu_252;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Orbales;f__Orbaceae;g__Gilliamella;s__Gilliamella_mensalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	1	0	0	0	0	0	0	0	0	0	0	0
zotu_258;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_kuykendallii	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	193	14	0	0	0	0	0	0	0
zotu_259;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_tructae	0	0	1	0	0	0	1	195	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_261;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium_agreste	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	172	0	0
zotu_263;d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__Delftia_acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_266;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Orbales;f__Orbaceae;g__Frischella;s__Frischella_perrara	0	0	1	0	0	1	0	134	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	35	0	0	1	0	0	0
zotu_269;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_quasihormaechei	0	0	0	0	187	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
zotu_271;d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Amorphaceae;g__Amorphus;s__Amorphus_uncl	0	1	0	0	0	0	0	156	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zotu_272;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_melliventris	2	1	5	4	2	4	0	114	31	2	1	0	0	5	2	1	1	3	8	2	5	2	2	6	1	0	3	1	0	0
zotu_280;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_uncl	0	0	0	6	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	174	0	0	1	0	0	0
zotu_283;d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_kimbladii	0	1	3	3	4	0	0	1	10	0	1	1	0	0	1	2	0	0	3	4	0	0	2	165	1	0	1	0	0	0
zotu_285;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_juntendi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	180	0	1	1	0	0
zotu_286;d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Luteimonas;s__Luteimonas_rhizosphaerae	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
