feature	metadata	value	coef	stderr	pval	qval	N	N.not.zero	module	class
M00117	disease_status	Healthy	0.16789999669801028	0.4146689729723822	0.694075750982581	0.8519937422206714	12	9	M00117: Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00118	disease_status	Healthy	-1.5602950056109735	0.08060324702463416	2.952072622222832e-9	8.147720437335016e-7	12	6	M00118: Glutathione biosynthesis, glutamate => glutathione	Pathway modules; Amino acid metabolism; Other amino acid metabolism
M00119	disease_status	Healthy	0.3169286068549238	0.3056135408638853	0.3241502412732503	0.5417560776111379	12	3	M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00120	disease_status	Healthy	-0.15177695805179714	0.3150340103959496	0.6403323762404804	0.8069942275907425	12	11	M00120: Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00121	disease_status	Healthy	0.007462516790469848	0.4118491818455319	0.9858999206121875	0.993096270397678	12	8	M00121: Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00122	disease_status	Healthy	0.45089884518190043	0.2807790261641993	0.13937973570480192	0.32013653020731725	12	5	M00122: Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00123	disease_status	Healthy	-0.3692918585390629	0.3705849156703883	0.3425035108158815	0.5560645234422547	12	10	M00123: Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00124	disease_status	Healthy	-0.9079314309587223	0.3518976182708513	0.027411551530722233	0.11850877982852231	12	8	M00124: Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00125	disease_status	Healthy	-0.2166027507188443	0.2914596472126964	0.47447881895190935	0.6526103621932849	12	9	M00125: Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00126	disease_status	Healthy	-0.011430281054747023	0.31223290020117733	0.9715178912245903	0.9910198587154312	12	11	M00126: Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00127	disease_status	Healthy	-0.17701573567512957	0.30698513981855474	0.5769401957999922	0.7494500344543703	12	11	M00127: Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism
M00129	disease_status	Healthy	-0.663449765548087	0.3693933893240516	0.10271045711401382	0.2752241375093963	12	8	M00129: Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00131	disease_status	Healthy	-0.018834545288228505	0.3634809776105351	0.9596948712324047	0.9910198587154312	12	10	M00131: Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00132	disease_status	Healthy	-0.3860367351904305	0.3936870599028329	0.3499332389979263	0.5582749940082523	12	3	M00132: Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism
M00133	disease_status	Healthy	0.43504071439235764	0.3907917863400986	0.2916531742268687	0.5095814953720714	12	9	M00133: Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis
